hub,degree_centrality,betweenness_centrality,in_degree,out_degree,clustering_coefficient,source_delay,destination_delay,source_sla_breaches,destination_sla_breaches,total_delay_contribution,total_sla_breaches,norm_betweenness,norm_degree,norm_delay,norm_sla,bottleneck_score
Arimbur_Veluthur_D (Kerala),0.0012195121951219512,0.0012299290168008453,1,1,0.0,875.0,986.0,54.0,46.0,1861.0,100.0,0.005160818987318061,0.010989010989010988,0.0002190808247321351,0.002680318421828513,0.00501035736227138
Bangalore_Nelmngla_H (Karnataka),0.043292682926829265,0.14271901367579876,36,35,0.05357142857142857,4103212.0,4419657.0,9642.0,10734.0,8522869.0,20376.0,0.5988532554059034,0.7692307692307692,0.5691887425708831,0.5461416816317778,0.6261247695872459
Cochin_Chtrpuza_D (Kerala),0.0012195121951219512,0.00041034836827928987,1,1,1.0,150.0,206.0,5.0,18.0,356.0,23.0,0.0017218340420483427,0.010989010989010988,0.00011858809653284729,0.000616473237020558,0.0034720126716559626
Cochin_Kdvantra_D (Kerala),0.0012195121951219512,0.0,1,1,0.0,73.0,462.0,3.0,29.0,535.0,32.0,0.0,0.010989010989010988,0.00013054038779375927,0.0008577018949851242,0.0029085431284489554
Guruvayoor_ManhrBld_D (Kerala),0.0012195121951219512,0.00041109242697063945,1,1,0.0,361.0,1429.0,17.0,46.0,1790.0,63.0,0.0017249561345996543,0.010989010989010988,0.0002143399717738963,0.0016886006057519633,0.0036578624781688947
Thrissur_Poothole_D (Kerala),0.0024390243902439024,0.000820324707212905,2,2,0.3333333333333333,3817.0,1957.0,74.0,65.0,5774.0,139.0,0.00344210703782103,0.03296703296703296,0.0004803619180502835,0.003725642606341633,0.010125432575459416
Alwar_Central_I_1 (Rajasthan),0.004878048780487805,0.0032593490974568073,5,3,0.26666666666666666,3958.0,14822.0,72.0,152.0,18780.0,224.0,0.013676326421020426,0.07692307692307691,0.0013488060529073848,0.00600391326489587,0.025255271981087603
Bharatpur_NraynDPP_D (Rajasthan),0.0018292682926829267,0.0008192086191758806,1,2,0.6666666666666666,434.0,1915.0,15.0,51.0,2349.0,66.0,0.003437423898994062,0.02197802197802198,0.0002516658422479175,0.0017690101584068186,0.007025871843476419
Kherli_GodamDPP_D (Rajasthan),0.0024390243902439024,7.440586913495736e-07,2,2,0.6666666666666666,3080.0,965.0,23.0,16.0,4045.0,39.0,3.1220925513115916e-06,0.03296703296703296,0.0003649121326306365,0.00104532418451312,0.008490877634985825
AmaDubi_Bulabeda_D (West Bengal),0.0018292682926829267,0.0,1,2,1.0,1378.0,147.0,24.0,3.0,1525.0,27.0,0.0,0.02197802197802198,0.00019664523890159643,0.0007236859738936985,0.005652219700314948
ChandroknaRD_Central_DPP_3 (West Bengal),0.0024390243902439024,0.00041034836827928987,2,2,1.0,1568.0,1382.0,34.0,23.0,2950.0,57.0,0.0017218340420483427,0.03296703296703296,0.000291796160950756,0.0015277815004422525,0.009146516421779187
Kharagpur_DC (West Bengal),0.004878048780487805,0.004891069807586423,4,4,0.09523809523809523,1643.0,6071.0,36.0,111.0,7714.0,147.0,0.02052307538604675,0.07692307692307691,0.0006099007171908937,0.003940068080087914,0.027157331007196504
Amalapuram_Vijdurg_D (Andhra Pradesh),0.003048780487804878,0.000406628074822542,3,2,0.6666666666666666,815.0,525.0,20.0,14.0,1340.0,34.0,0.0017062235792917849,0.04395604395604395,0.00018429231217942485,0.0009113082634216945,0.011768958559321223
Draksharamam_Anaipeta_D (Andhra Pradesh),0.0024390243902439024,0.0008117680322623849,2,2,1.0,721.0,1377.0,24.0,30.0,2098.0,54.0,0.0034062029734809466,0.03296703296703296,0.00023490592545189008,0.001447371947787397,0.009709761556007652
Razole_Shanthi_D (Andhra Pradesh),0.0018292682926829267,0.0,2,1,1.0,36.0,1344.0,2.0,14.0,1380.0,16.0,0.0,0.02197802197802198,0.000186963215254489,0.0004288509474925621,0.005605573940443001
Amalner_Murtingr_D (Maharashtra),0.0012195121951219512,5.580440185121802e-06,1,1,0.0,42.0,37.0,3.0,1.0,79.0,4.0,2.3415694134836936e-05,0.010989010989010988,0.0001000920927380282,0.00010721273687314052,0.0027965531739154183
Erandol_BsStdDPP_D (Maharashtra),0.0012195121951219512,0.0004155567791187369,1,1,0.0,39.0,42.0,3.0,3.0,81.0,6.0,0.0017436886899075239,0.010989010989010988,0.00010022563789178141,0.0001608191053097108,0.0034067230639897826
Amb_Adrshngr_D (Himachal Pradesh),0.0006097560975609756,0.0,0,1,0.0,109.0,0.0,3.0,0.0,109.0,3.0,0.0,0.0,0.0001020952700443263,8.04095526548554e-05,3.7585250409309885e-05
DehraGopipur_Central_D_1 (Himachal Pradesh),0.0018292682926829267,7.440586913495736e-07,1,2,0.0,191.0,109.0,6.0,3.0,300.0,9.0,3.1220925513115916e-06,0.02197802197802198,0.00011484883222775751,0.00024122865796456617,0.005560494733650078
Ambah_MrenTirh_D (Madhya Pradesh),0.0024390243902439024,0.0012262087233440974,2,2,0.5,898.0,1571.0,24.0,25.0,2469.0,49.0,0.005145208524561503,0.03296703296703296,0.00025967855147310986,0.0013133560266959715,0.010304504267227439
Bhind_BhrolDPP_D (Madhya Pradesh),0.0012195121951219512,0.0008113960029167101,1,1,1.0,327.0,618.0,4.0,18.0,945.0,22.0,0.0034046419272052908,0.010989010989010988,0.0001579171443131666,0.0005896700528022729,0.00406680721577323
Bhind_EtwahDPP_D (Madhya Pradesh),0.0012195121951219512,0.0,1,1,1.0,4416.0,280.0,29.0,6.0,4696.0,35.0,0.0,0.010989010989010988,0.0004083810801773052,0.0009381114476399796,0.0029900647344430703
Ambajogai_BnsllNgr_D (Maharashtra),0.0012195121951219512,0.0032359112486792956,1,1,0.0,33296.0,429.0,152.0,14.0,33725.0,166.0,0.01357798050565411,0.010989010989010988,0.0023467222143282195,0.004449328580235332,0.00875362576484904
Ambala (Haryana),0.0006097560975609756,0.0,0,1,0.0,555.0,0.0,18.0,0.0,555.0,18.0,0.0,0.0,0.00013187583933129134,0.00048245731592913235,0.00010533755722219267
YamunaNagar_DC (Haryana),0.0018292682926829267,0.0008166044137561571,2,1,0.3333333333333333,1876.0,672.0,36.0,21.0,2548.0,57.0,0.003426496575064472,0.02197802197802198,0.0002649535850463615,0.0015277815004422525,0.006989184917105988
Ambasamdrm_Solaiprm_D (Tamil Nadu),0.0012195121951219512,2.604205419723508e-06,1,1,1.0,820.0,323.0,26.0,18.0,1143.0,44.0,1.0927323929590571e-05,0.010989010989010988,0.000171138114534734,0.0011793401056045458,0.002970762855102469
Tirunelveli_VdkkuSrt_I (Tamil Nadu),0.00426829268292683,1.5997261864015833e-05,3,4,0.09523809523809523,2451.0,4755.0,119.0,119.0,7206.0,238.0,6.712498985319922e-05,0.06593406593406594,0.0005759802481375792,0.006379157843951861,0.01760787896859228
Ambegaon_Manchar_D (Maharashtra),0.0012195121951219512,0.0,1,1,1.0,407.0,581.0,8.0,13.0,988.0,21.0,0.0,0.010989010989010988,0.00016078836511886053,0.0005628668685839878,0.0028718798688200605
Rajgurunagar_Chakan_D (Maharashtra),0.0024390243902439024,0.0008162323844104822,2,2,0.6666666666666666,355.0,623.0,14.0,21.0,978.0,35.0,0.0034249355287888157,0.03296703296703296,0.0001601206393500945,0.0009381114476399796,0.009621232553817846
Ambur_Central_D_2 (Tamil Nadu),0.0036585365853658534,0.0016320927394752897,4,2,0.4,3928.0,4063.0,90.0,65.0,7991.0,155.0,0.006848310011301976,0.054945054945054944,0.0006283967209857128,0.004154493553834195,0.01691344545354099
Tiruppattur_KoilStrt_D (Tamil Nadu),0.0018292682926829267,0.00041034836827928987,1,2,1.0,3199.0,1431.0,49.0,50.0,4630.0,99.0,0.0017218340420483427,0.02197802197802198,0.0004039740901034494,0.002653515237610228,0.006596168217389812
Gandhinagar_DC (Gujarat),0.0018292682926829267,0.0,1,2,1.0,3764.0,297.0,75.0,12.0,4061.0,87.0,0.0,0.02197802197802198,0.0003659804938606622,0.0023318770269908063,0.005935782172019281
Gandhinagar_Kalol_DC (Gujarat),0.0018292682926829267,0.0,2,1,1.0,2908.0,214.0,66.0,19.0,3122.0,85.0,0.0,0.02197802197802198,0.0003032810441735318,0.002278270658554236,0.005912066354332013
Amravati_DC (Maharashtra),0.0006097560975609756,0.0,0,1,0.0,4589.0,0.0,84.0,0.0,4589.0,84.0,0.0,0.0,0.00040123641445150867,0.002251467474335951,0.00043802922476326983
Amreli_MrktYrd_DC (Gujarat),0.0012195121951219512,0.0008229289126326284,1,1,0.0,914.0,1485.0,24.0,35.0,2399.0,59.0,0.00345303436175062,0.010989010989010988,0.00025500447109174767,0.0015813878688788227,0.0042567740719702245
