source_name,destination_name,route_type,median_delay_ratio,avg_delay_ratio,total_delay,avg_actual_time,avg_osrm_time,trip_count,sla_breach_count
Bangalore_Nelmngla_H (Karnataka),Pune_Tathawde_H (Maharashtra),FTL,1.5659748403559668,1.5250242937405267,87988.0,538.3778280542987,339.3099547511312,13,424
Sasaram_Central_I_2 (Bihar),Gurgaon_Bilaspur_HB (Haryana),FTL,1.8937823834196892,1.8666578220478784,84915.0,679.4708171206225,349.0622568093385,7,252
Pune_Tathawde_H (Maharashtra),Bangalore_Nelmngla_H (Karnataka),FTL,1.6844058197441656,1.7284575260197779,82136.0,565.5029585798817,322.49704142011836,10,337
Delhi_Airport_H (Delhi),Guwahati_Hub (Assam),FTL,2.84535054236484,2.848636180016232,80068.0,1861.8676470588234,684.3970588235294,1,68
Gurgaon_Bilaspur_HB (Haryana),Chandigarh_Mehmdpur_H (Punjab),FTL,1.8590322580645162,2.015222235592946,79563.0,234.77591463414635,113.49085365853658,58,637
Kolhapur_Shivaji_I (Maharashtra),Surat_HUB (Gujarat),FTL,1.8040226399838286,1.8528038791690282,76115.0,475.31284916201116,262.70111731843576,15,358
Delhi_Airport_H (Delhi),Kanpur_Central_H_6 (Uttar Pradesh),FTL,1.9080459770114941,1.9440972778875998,73436.0,333.6971046770601,170.1425389755011,25,449
Bangalore_Nelmngla_H (Karnataka),Bhiwandi_Mankoli_HB (Maharashtra),FTL,1.6819925375736653,1.7496915963098356,70639.0,673.1046511627907,399.31007751937983,7,258
Kolkata_Dankuni_HB (West Bengal),Bhubaneshwar_Hub (Orissa),FTL,1.7640737539613944,1.865235071020213,69587.0,318.8311403508772,166.2280701754386,27,453
Gurgaon_Bilaspur_HB (Haryana),Kanpur_Central_H_6 (Uttar Pradesh),FTL,2.303448275862069,2.2591686604562033,61825.0,399.3382899628253,169.50557620817844,15,263
Chandigarh_Mehmdpur_H (Punjab),Bangalore_Nelmngla_H (Karnataka),FTL,1.673992673992674,1.6644472569172923,59348.0,1682.7283950617284,950.0370370370371,1,81
Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),Hyderabad_Shamshbd_H (Telangana),FTL,2.009478672985782,2.010154317652307,57156.0,468.8945147679325,227.72995780590716,10,237
Bhiwandi_Mankoli_HB (Maharashtra),Ahmedabad_East_H_1 (Gujarat),FTL,1.8489543726235742,1.8514130938434346,56606.0,359.8060606060606,188.27272727272728,18,329
Pune_Tathawde_H (Maharashtra),Nanded_Aswningr_I (Maharashtra),FTL,2.1365079365079365,2.137473691092657,54786.0,400.0118577075099,183.46640316205534,15,253
Jaynagar_Wardno6_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),FTL,9.209876543209877,9.438599022383022,53448.0,566.7333333333333,57.7047619047619,21,105
Phulpur_Shekhpur_D (Uttar Pradesh),Allahabad_Central_H_1 (Uttar Pradesh),Carting,31.78787878787879,34.851052999079315,51773.0,819.1076923076923,22.6,13,65
Bengaluru_Nelmngla_L (Karnataka),Gurgaon_Bilaspur_HB (Haryana),FTL,1.777644905069832,1.7381283495343847,50521.0,1489.6410256410256,841.9358974358975,1,77
Surat_HUB (Gujarat),Pune_Tathawde_H (Maharashtra),FTL,2.7575600851840587,2.7712761430070905,50039.0,489.24675324675326,164.3181818181818,11,144
Pali_Nayagaon_I (Rajasthan),Ajmer_FoySGRRD_I (Rajasthan),Carting,3.0142857142857142,2.989313861937627,49625.0,223.86404833836858,73.93957703927492,20,331
Hyderabad_Shamshbd_H (Telangana),Kolkata_Dankuni_HB (West Bengal),FTL,1.8097367462671037,1.8596255755988615,48537.0,969.0454545454545,527.8,2,110
Chandigarh_Mehmdpur_H (Punjab),Bhiwandi_Mankoli_HB (Maharashtra),FTL,2.2549019607843137,2.4462276166748556,47558.0,1401.4745762711864,595.4067796610169,1,59
Pune_Tathawde_H (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),FTL,2.151923076923077,2.4467722614896985,43643.0,150.8230769230769,66.89423076923077,107,520
Hyderabad_Shamshbd_H (Telangana),Rajamundry_AtoNgrRd_I (Andhra Pradesh),FTL,2.3710393700787398,2.4452126715429903,43590.0,376.3872549019608,162.7107843137255,12,204
Bangalore_Nelmngla_H (Karnataka),Kolhapur_Shivaji_I (Maharashtra),FTL,1.6226415094339623,1.6376996632067387,42614.0,372.943143812709,230.42140468227424,12,295
Hyderabad_Shamshbd_H (Telangana),Gurgaon_Bilaspur_HB (Haryana),FTL,2.138512233893432,1.9387708407319608,39174.0,1329.8035714285713,630.2678571428571,1,53
Pune_Tathawde_H (Maharashtra),Hyderabad_Shamshbd_H (Telangana),FTL,1.540785498489426,1.5000440852873371,39165.0,422.45247148288973,273.5361216730038,11,222
Gurgaon_Bilaspur_HB (Haryana),Sonipat_Kundli_H (Haryana),Carting,1.75,1.8916967480076223,39003.0,114.08502024291498,61.449392712550605,92,667
Solapur_Central_I_2 (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),FTL,2.3949275362318843,2.645443774211692,38971.0,447.26573426573424,174.74125874125875,9,143
Kolkata_Dankuni_HB (West Bengal),Ranchi_Hub (Jharkhand),FTL,2.329896907216495,2.457165539503168,38806.0,391.43195266272187,161.81065088757396,13,166
Malvan_BllvMarg_D (Maharashtra),Sawantwadi_LaxmiNgr_D (Maharashtra),Carting,26.880917874396133,23.556107262598584,37803.0,785.46,29.4,10,50
Sasaram_Central_I_2 (Bihar),Kanpur_Central_H_6 (Uttar Pradesh),FTL,1.7732249502322495,1.718930589085133,35050.0,325.7125,179.67083333333332,12,231
Bengaluru_Bomsndra_HB (Karnataka),Aluva_Peedika_H (Kerala),FTL,1.6888888888888889,1.7462525455545996,34437.0,376.60538116591925,222.17937219730942,14,221
Delhi_Mayapuri_PC (Delhi),Gurgaon_Bilaspur_HB (Haryana),Carting,1.3414634146341464,4.14556024205869,34306.0,183.94372294372295,35.43290043290043,39,191
Muktsar_DPC (Punjab),Ludhiana_MilrGanj_HB (Punjab),FTL,4.3,3.7746560024151035,33684.0,330.9172932330827,77.65413533834587,19,133
Ambajogai_BnsllNgr_D (Maharashtra),Pune_Tathawde_H (Maharashtra),FTL,2.5931988742964354,2.5339946489911243,33296.0,356.01973684210526,136.9671052631579,12,152
Sonipat_Kundli_H (Haryana),Gurgaon_Bilaspur_HB (Haryana),Carting,1.4819264069264069,1.641853110658509,31902.0,105.44868421052631,63.47236842105263,86,591
Bhiwandi_Mankoli_HB (Maharashtra),Chandigarh_Mehmdpur_H (Punjab),FTL,1.930921052631579,1.9346950947673935,31681.0,1117.2203389830509,580.2542372881356,1,59
Ahmedabad_East_H_1 (Gujarat),Surat_HUB (Gujarat),FTL,1.9267389437526836,1.9975046507575394,31499.0,215.79333333333332,110.79666666666667,30,300
Goa_Hub (Goa),Pune_Tathawde_H (Maharashtra),FTL,1.5070422535211268,1.597454654290745,31100.0,328.73362445414847,192.92576419213975,14,206
Nellore_DC (Andhra Pradesh),Hyderabad_Shamshbd_H (Telangana),FTL,1.6310679611650485,1.6313649335722442,30387.0,330.3586497890295,202.14345991561183,14,236
JognderNgr_Dhelu_D (Himachal Pradesh),BilaspurHP_Indsarea_D (Himachal Pradesh),FTL,7.2631578947368425,6.754442960889272,30293.0,715.2244897959183,97.0,13,49
